work_id,title,type,language,tier,genesis_date,iprs_work_no,shares_breakdown,collaborators
WKS-001,Dukkhobilaashita,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-002,Chena,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (CA) 25.00% | RISHI CHANDA (C) 25.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-003,DaakBaksher Gaan,VOCAL,,Tier C: Adaptation (Licensed via Soundrop),,,ABHIK CHATTERJEE (CA) 25.00% | LEONARD COHEN (CA) 25.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-004,Er Kom Jabo Na,VOCAL,,Tier A: 100% Solo Original (Featured Vocalist),,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-005,Dil Ka DP,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-006,Ami Raja,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (CA) 37.50% | DIPTARKA BOSE (C) 12.50% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-007,Taar Kata Ektara,VOCAL,,Tier A: 100% Solo Original (Featured Vocalist),,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-008,Lahaan Pan,VOCAL,,Tier C: Adaptation / Traditional Re-arrangement,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-009,Hey Bhoboghurey,VOCAL,,Tier A: 100% Solo Original (Featured Vocalist),,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-010,Ohonkaar,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (CA) 25.00% | ARGHA SEN (A) 25.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-011,Cohen's Hollow,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-012,"396hz - Relieving Grief, Guilt & Fear",INSTRUMENTAL,,Tier D: Instrumental (Ambient / Meditation),,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-013,852hz - Awakening Intuition,INSTRUMENTAL,,Tier D: Instrumental (Ambient / Meditation),,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-014,963hz - Connecting with Oneness,INSTRUMENTAL,,Tier D: Instrumental (Ambient / Meditation),,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-015,Shoreerer Gnit,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (A) 25.00% | SOUMYADEEP SIKDAR (C) 25.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-016,Jaao Aaro Jaao,VOCAL,,Tier A: 100% Solo Original (Featured Vocalist),,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-017,You Are Mine,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (CA) 37.50% | DIPTARKA BOSE (C) 12.50% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-018,Christos,VOCAL,,Tier B: Collaboration,,,ABHIK CHATTERJEE (CA) 37.50% | DIPTARKA BOSE (C) 12.50% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-019,Kaar Milon Chaao Birohi,VOCAL,,Tier C: Adaptation / Public Domain,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-020,Tepantorer Ontor,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-021,Waves,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-022,Allah Jaane,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-023,Dawn to Dusk,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-024,Meghtarua,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-025,Aamaar Gaan,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-026,O Sailaab,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-027,Ottyadhunik,VOCAL,,Tier B: Collaboration,,,SREEMOYEE BHATTACHARYA (CA) 25.00% | ABHIK CHATTERJEE (C) 12.50% | RISHI CHANDA (C) 12.50% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-028,Gopono Kothati,VOCAL,,Tier C: Adaptation / Public Domain,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-029,Tumi,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-030,Aar Ektu Kheli,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-031,Doggy,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-032,Sundori Komola,VOCAL,,Tier C: Adaptation / Public Domain,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-033,Shunyo,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-034,Precision,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-035,Inception,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-036,Enchantment,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-037,Illusion,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-038,Evolution,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-039,Surrender,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-040,Exit Plan,INSTRUMENTAL,,Tier D: Instrumental,,,ABHIK CHATTERJEE (C) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
WKS-043,Chandaa,VOCAL,,Tier A: 100% Solo Original,,,ABHIK CHATTERJEE (CA) 50.00% | TRANSMIC SPACE (E) 50.00%,N/A
