id,title,category,type,release_date,featured_artists,production,youtube_url,thumbnail_file
tOJcUVOKzfE,Pagol Hawa ~ Naa Jaane Kyun,Music Videos,Music Video,2026-06-22,"Riya, Sreemoyee",Transmic Space,https://www.youtube.com/watch?v=tOJcUVOKzfE,01_tOJcUVOKzfE_Pagol_Hawa__Naa_Jaane_Kyun__Ri.jpg
K3VUQdUo6DE,Boho Folk Tales ~ Episode 5,Web Series,Web Series,2022-10-30,"Ankita Chakraborty, Prantik Banerjee, Titash Bhramar Sen",Transmic Space,https://www.youtube.com/watch?v=K3VUQdUo6DE,02_K3VUQdUo6DE_Boho_Folk_Tales__Episode_5__Ft.jpg
6uM-ZUzf_54,Boho Folk Tales ~ Episode 4,Web Series,Web Series,2022-10-30,"Satakshi Nandy, Titash Bhramar Sen",Transmic Space,https://www.youtube.com/watch?v=6uM-ZUzf_54,03_6uM-ZUzf_54_Boho_Folk_Tales__Episode_4__Ft.jpg
FWwL16Os61Q,Boho Folk Tales ~ Episode 3,Web Series,Web Series,2022-10-30,"Ranieeta Dash, Titash Bhramar Sen",Transmic Space,https://www.youtube.com/watch?v=FWwL16Os61Q,04_FWwL16Os61Q_Boho_Folk_Tales__Episode_3__Ft.jpg
EQhgSkWmum4,Boho Folk Tales ~ Episode 2,Web Series,Web Series,2022-10-30,"Srabasti Ghosh, Titash Bhramar Sen",Transmic Space,https://www.youtube.com/watch?v=EQhgSkWmum4,05_EQhgSkWmum4_Boho_Folk_Tales__Episode_2__Ft.jpg
nZL5KIlc7rM,Boho Folk Tales ~ Episode 1,Web Series,Web Series,2022-10-29,"Tanika Basu, Titash Bhramar Sen",Transmic Space,https://www.youtube.com/watch?v=nZL5KIlc7rM,06_nZL5KIlc7rM_Boho_Folk_Tales__Episode_1__Ft.jpg
ySilXtOY1lM,Jaao Aaro Jaao (যাও আরো যাও),Music Videos,Lyric Video / Song,2021-10-12,"Sreemoyee Bhattacharya, #abhikism",Transmic Space,https://www.youtube.com/watch?v=ySilXtOY1lM,07_ySilXtOY1lM_যও_আর_যও__Jaao_Aaro_Jaao__Sree.jpg
5Wjfk2G5iXc,Hey Bhoboghurey (হে ভবঘুরে),Music Videos,Lyric Video / Song,2020-04-14,"Sreemoyee Bhattacharya, #abhikism",Transmic Space,https://www.youtube.com/watch?v=5Wjfk2G5iXc,08_5Wjfk2G5iXc_Hey_Bhoboghurey__হ_ভবঘর___Sree.jpg
vteykfpmaMc,Kichhhudin Mone Mone (কিছুদিন মনে মনে),Music Videos,Music Video / Folk,2020-04-04,Sreemoyee Bhattacharya,Transmic Space,https://www.youtube.com/watch?v=vteykfpmaMc,09_vteykfpmaMc_Kichhhudin_Mone_Mone__কছদন_মন.jpg
_PXjXY4ZAB8,Taar Kata Ektara (তার কাটা একতারা),Music Videos,Flagship Music Video,2019-10-01,"Sreemoyee Bhattacharya, #abhikism (Abhik Chatterjee)",A Transmic Video / Transmic Space,https://www.youtube.com/watch?v=_PXjXY4ZAB8,10__PXjXY4ZAB8_Taar_Kata_Ektara__তর_কট_একতর.jpg
aT7Z1MqGE6Y,All Characters Are Fictitious (Full Film),Films & Documentaries,Feature Film,2018-04-17,"Rii Sen, Saayoni Ghosh, Indrasish Roy",Transmic Space,https://www.youtube.com/watch?v=aT7Z1MqGE6Y,11_aT7Z1MqGE6Y_All_Characters_Are_Fictitious.jpg
IslsgtzJmnw,All Characters Are Fictitious (Trailer 2),Films & Documentaries,Film Trailer,2017-09-26,"Rii Sen, Saayoni Ghosh, Indrasish Roy",Transmic Space,https://www.youtube.com/watch?v=IslsgtzJmnw,12_IslsgtzJmnw_All_Characters_Are_Fictitious.jpg
mW3CnlK_Mx4,SpaceB (Full Documentary),Films & Documentaries,Documentary Film,2017-06-15,Baul Philosophers & Musicians,A Transmic Film,https://www.youtube.com/watch?v=mW3CnlK_Mx4,13_mW3CnlK_Mx4_SpaceB__FULL_DOCUMENTARY_2017.jpg
ctac2ejFfI4,#NoWomensDay | Jodi Akaasher Gaaye (যদি আকাশের গায়ে),Music Videos,Music Video / Tribute,2017-03-08,Sreemoyee Bhattacharya,Transmic Space,https://www.youtube.com/watch?v=ctac2ejFfI4,14_ctac2ejFfI4_NoWomensDay__Jodi_Akaasher_Gaa.jpg
GNOr4k69TBw,#TrashDoveTransmic,Shorts & Creative,Short / Creative,2017-02-22,Transmic Space Creative Collective,Transmic Space,https://www.youtube.com/watch?v=GNOr4k69TBw,15_GNOr4k69TBw_TrashDoveTransmic.jpg
VlxeUZIkMU8,Dil Ka DP (दिल का DP),Music Videos,Music Video,2017-02-14,"Bhumika Dubey, Muktak Kanjilal, #abhikism",Transmic Space / #abhikism,https://www.youtube.com/watch?v=VlxeUZIkMU8,16_VlxeUZIkMU8_Dil_Ka_Dp__दल_क_DP__Abhikism.jpg
